EmployeeNumber,Department,JobRole,Attrition_Prob,Risk,ONETRole,SkillGap,SkillGapCount,Engagement,Recommendation
19,Research & Development,Laboratory Technician,0.9419631461136445,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
20,Research & Development,Manufacturing Director,0.39641570423826894,MEDIUM,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
21,Research & Development,Research Scientist,0.1922578589678931,LOW,Biological Scientists,,0,,No immediate recommendation
22,Research & Development,Laboratory Technician,0.4281512446446875,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
23,Sales,Manager,0.06180988470214121,LOW,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",7,,Upskill in Active Learning
24,Research & Development,Research Scientist,0.3711981116029174,MEDIUM,Biological Scientists,,0,,No immediate recommendation
26,Research & Development,Manufacturing Director,0.02589216601297115,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
27,Sales,Sales Representative,0.7668061313262764,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
28,Research & Development,Research Director,0.044266169250363085,LOW,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",7,,Upskill in Active Learning
30,Research & Development,Research Scientist,0.30599630046694626,MEDIUM,Biological Scientists,,0,,No immediate recommendation
31,Research & Development,Research Scientist,0.35846527354157404,MEDIUM,Biological Scientists,,0,,No immediate recommendation
32,Research & Development,Manager,0.0176942761474214,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
33,Research & Development,Research Scientist,0.9224466623826414,HIGH,Biological Scientists,,0,,No immediate recommendation
35,Sales,Sales Executive,0.21889564100609468,LOW,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
36,Research & Development,Healthcare Representative,0.01986883625713242,LOW,Sales Representatives of Services,,0,,No immediate recommendation
38,Sales,Manager,0.3739971255283272,MEDIUM,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
39,Research & Development,Laboratory Technician,0.4022518331976649,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
40,Research & Development,Healthcare Representative,0.053368579268121566,LOW,Sales Representatives of Services,,0,,No immediate recommendation
41,Research & Development,Laboratory Technician,0.27289095180758055,LOW,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
42,Sales,Sales Representative,0.16633591917253315,LOW,Sales Representatives of Services,,0,,No immediate recommendation
45,Research & Development,Research Scientist,0.6507450143695411,HIGH,Biological Scientists,,0,,No immediate recommendation
46,Research & Development,Research Scientist,0.014450030477724326,LOW,Biological Scientists,,0,,No immediate recommendation
47,Sales,Sales Representative,0.916099493709037,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
49,Sales,Sales Representative,0.45450282074603354,MEDIUM,Sales Representatives of Services,,0,,No immediate recommendation
51,Research & Development,Research Scientist,0.830274632219069,HIGH,Biological Scientists,,0,,No immediate recommendation
52,Sales,Sales Executive,0.20407971392921725,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
53,Research & Development,Laboratory Technician,0.18414670742456402,LOW,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
54,Research & Development,Laboratory Technician,0.32500442875367574,MEDIUM,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
55,Research & Development,Laboratory Technician,0.9544600624374836,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
56,Sales,Sales Executive,0.2724221641113258,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
57,Research & Development,Laboratory Technician,0.23666876862235783,LOW,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
58,Research & Development,Research Director,0.4027598330142041,MEDIUM,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
60,Sales,Sales Executive,0.3693658215617285,MEDIUM,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
61,Research & Development,Research Scientist,0.6184796618955363,HIGH,Biological Scientists,,0,,No immediate recommendation
62,Sales,Sales Executive,0.6073772235284116,HIGH,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
63,Research & Development,Laboratory Technician,0.1584863571608067,LOW,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
64,Research & Development,Laboratory Technician,0.914050895197021,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
65,Research & Development,Laboratory Technician,0.8785495549751635,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
68,Sales,Sales Executive,0.8329831550347766,HIGH,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
70,Research & Development,Healthcare Representative,0.39936869574846523,MEDIUM,Sales Representatives of Services,,0,,No immediate recommendation
72,Sales,Sales Executive,0.9479507081804807,HIGH,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
73,Research & Development,Research Director,0.2844918088032638,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
74,Sales,Sales Executive,0.46692560117924997,MEDIUM,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
75,Research & Development,Laboratory Technician,0.8756554991599889,HIGH,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
76,Research & Development,Laboratory Technician,0.09992692231893134,LOW,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking",6,,Upskill in Active Learning
77,Research & Development,Manufacturing Director,0.05805208408684822,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
78,Research & Development,Manufacturing Director,0.3400639423224953,MEDIUM,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
79,Research & Development,Laboratory Technician,0.7181926329575946,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
80,Research & Development,Research Director,0.6926077078344749,HIGH,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
81,Sales,Sales Executive,0.540278857172024,MEDIUM,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7,,Upskill in Active Learning
83,Research & Development,Healthcare Representative,0.07972595908662097,LOW,Sales Representatives of Services,,0,,No immediate recommendation
84,Research & Development,Manager,0.04508823621413176,LOW,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
85,Research & Development,Manufacturing Director,0.44276449045748323,MEDIUM,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
86,Research & Development,Research Scientist,0.07660648374957019,LOW,Biological Scientists,,0,,No immediate recommendation
88,Research & Development,Research Scientist,0.5100407474874514,MEDIUM,Biological Scientists,,0,,No immediate recommendation
90,Research & Development,Research Scientist,0.655555496948874,HIGH,Biological Scientists,,0,,No immediate recommendation
91,Sales,Sales Executive,0.5196702849112237,MEDIUM,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
94,Research & Development,Research Scientist,0.042351409231936164,LOW,Biological Scientists,,0,,No immediate recommendation
95,Research & Development,Research Scientist,0.22546419999187234,LOW,Biological Scientists,,0,,No immediate recommendation
96,Research & Development,Research Scientist,0.03675820514433847,LOW,Biological Scientists,,0,,No immediate recommendation
97,Research & Development,Laboratory Technician,0.4848270344224366,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
98,Research & Development,Manufacturing Director,0.029688750521952717,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
100,Sales,Sales Executive,0.19990668520520358,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
101,Research & Development,Research Director,0.0335209255607029,LOW,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
102,Research & Development,Research Director,0.10314324146222495,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
103,Human Resources,Human Resources,0.5953193041153614,MEDIUM,Human Resources Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",7,,Upskill in Active Learning
104,Research & Development,Laboratory Technician,0.5886530833210348,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7,,Upskill in Active Learning
105,Research & Development,Research Scientist,0.1676848305057593,LOW,Biological Scientists,,0,,No immediate recommendation
106,Sales,Sales Executive,0.034775763402951916,LOW,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
107,Research & Development,Research Scientist,0.059604010529371663,LOW,Biological Scientists,,0,,No immediate recommendation
110,Research & Development,Manufacturing Director,0.29938111887701846,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
112,Research & Development,Manufacturing Director,0.038264950674047414,LOW,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
113,Sales,Sales Representative,0.836534746265336,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
116,Research & Development,Laboratory Technician,0.047119812041838856,LOW,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
117,Research & Development,Healthcare Representative,0.031243505666503694,LOW,Sales Representatives of Services,,0,,No immediate recommendation
118,Sales,Sales Executive,0.1597458980580047,LOW,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",7,,Upskill in Active Learning
119,Research & Development,Healthcare Representative,0.2817822294072259,LOW,Sales Representatives of Services,,0,,No immediate recommendation
120,Sales,Sales Executive,0.6100607400014652,HIGH,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Writing",6,,Upskill in Active Learning
121,Sales,Sales Executive,0.33225766326381073,MEDIUM,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
124,Research & Development,Healthcare Representative,0.5830957303098658,MEDIUM,Sales Representatives of Services,,0,,No immediate recommendation
125,Sales,Sales Executive,0.381860686211541,MEDIUM,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
126,Research & Development,Research Director,0.1799836015947859,LOW,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
128,Sales,Sales Executive,0.37560110557909565,MEDIUM,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",6,,Upskill in Active Learning
129,Sales,Sales Executive,0.11975511379688265,LOW,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
131,Sales,Sales Executive,0.01748727605751611,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8,,Upskill in Active Learning
132,Research & Development,Laboratory Technician,0.2569713467379156,LOW,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
133,Human Resources,Human Resources,0.8308424077130536,HIGH,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
134,Research & Development,Research Scientist,0.23046571768921112,LOW,Biological Scientists,,0,,No immediate recommendation
137,Research & Development,Laboratory Technician,0.8749263676261813,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
138,Research & Development,Research Scientist,0.03490619303172265,LOW,Biological Scientists,,0,,No immediate recommendation
139,Research & Development,Healthcare Representative,0.013548325701292399,LOW,Sales Representatives of Services,,0,,No immediate recommendation
140,Human Resources,Manager,0.027447227414492348,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
141,Research & Development,Research Director,0.3663028637986731,MEDIUM,Natural Sciences Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7,,Upskill in Active Learning
142,Sales,Sales Executive,0.7949693033494631,HIGH,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
143,Research & Development,Research Scientist,0.08776962136331015,LOW,Biological Scientists,,0,,No immediate recommendation
144,Research & Development,Laboratory Technician,0.6537964181894176,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
145,Research & Development,Healthcare Representative,0.6431475897766401,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
147,Research & Development,Laboratory Technician,0.8873826618131665,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
148,Human Resources,Manager,0.12546471610725857,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
150,Research & Development,Laboratory Technician,0.4669215465033776,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
151,Research & Development,Research Scientist,0.3531549789243289,MEDIUM,Biological Scientists,,0,,No immediate recommendation
152,Sales,Sales Executive,0.2989252865237389,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7,,Upskill in Active Learning
153,Research & Development,Manager,0.14185067470527482,LOW,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
154,Sales,Sales Executive,0.2365576689346619,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7,,Upskill in Active Learning
155,Research & Development,Laboratory Technician,0.5855625902323895,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
158,Sales,Manager,0.11557161624501956,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
159,Research & Development,Research Scientist,0.1538854042117869,LOW,Biological Scientists,,0,,No immediate recommendation
160,Sales,Sales Executive,0.0978199552624179,LOW,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
161,Research & Development,Research Scientist,0.4877017449663669,MEDIUM,Biological Scientists,,0,,No immediate recommendation
162,Research & Development,Research Director,0.18319461454889793,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
163,Sales,Sales Executive,0.9093388887274821,HIGH,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
164,Research & Development,Research Scientist,0.1957348079343361,LOW,Biological Scientists,,0,,No immediate recommendation
165,Research & Development,Healthcare Representative,0.04010905549948029,LOW,Sales Representatives of Services,,0,,No immediate recommendation
167,Sales,Sales Representative,0.9649919601298472,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
169,Research & Development,Laboratory Technician,0.36714035334272493,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
170,Research & Development,Manufacturing Director,0.11146207741026204,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
171,Research & Development,Research Scientist,0.239659584550478,LOW,Biological Scientists,,0,,No immediate recommendation
174,Sales,Sales Executive,0.373859611943094,MEDIUM,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
175,Sales,Sales Executive,0.9405510780640464,HIGH,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
176,Sales,Sales Executive,0.38711019070178304,MEDIUM,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7,,Upskill in Active Learning
177,Human Resources,Human Resources,0.12555143530575472,LOW,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
178,Research & Development,Manufacturing Director,0.2358412801718195,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
179,Research & Development,Manufacturing Director,0.280293497928119,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
182,Sales,Sales Executive,0.06814413855143599,LOW,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
183,Sales,Sales Executive,0.6965100961358166,HIGH,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8,,Upskill in Active Learning
184,Human Resources,Human Resources,0.5969810537966354,MEDIUM,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
190,Research & Development,Laboratory Technician,0.7673611952370839,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
192,Research & Development,Research Scientist,0.2917845836811906,LOW,Biological Scientists,,0,,No immediate recommendation
193,Research & Development,Research Scientist,0.4349712450978376,MEDIUM,Biological Scientists,,0,,No immediate recommendation
194,Research & Development,Research Scientist,0.3173377333338279,MEDIUM,Biological Scientists,,0,,No immediate recommendation
195,Sales,Sales Executive,0.035731001334272365,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
197,Research & Development,Research Scientist,0.241338420982626,LOW,Biological Scientists,,0,,No immediate recommendation
198,Research & Development,Laboratory Technician,0.34682793434682463,MEDIUM,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",6,,Upskill in Active Learning
199,Research & Development,Manager,0.4000391097434222,MEDIUM,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7,,Upskill in Active Learning
200,Research & Development,Laboratory Technician,0.30303895419215543,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
201,Research & Development,Laboratory Technician,0.7081269175764201,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7,,Upskill in Active Learning
202,Research & Development,Research Scientist,0.18968534673149073,LOW,Biological Scientists,,0,,No immediate recommendation
204,Sales,Sales Executive,0.13688063958893484,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
205,Sales,Sales Representative,0.8015983538952711,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
206,Research & Development,Laboratory Technician,0.17419424834289973,LOW,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
207,Sales,Sales Executive,0.4471171588880751,MEDIUM,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
208,Research & Development,Manufacturing Director,0.018453098994495203,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
211,Research & Development,Manufacturing Director,0.20033311131603698,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
214,Research & Development,Research Scientist,0.6931678593130298,HIGH,Biological Scientists,,0,,No immediate recommendation
215,Sales,Sales Executive,0.28897820261587076,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
216,Sales,Sales Representative,0.6090862214532988,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
217,Research & Development,Research Scientist,0.08703483169480215,LOW,Biological Scientists,,0,,No immediate recommendation
218,Research & Development,Research Scientist,0.13479875859076018,LOW,Biological Scientists,,0,,No immediate recommendation
221,Research & Development,Research Scientist,0.24406592565572918,LOW,Biological Scientists,,0,,No immediate recommendation
223,Research & Development,Healthcare Representative,0.27277833364807846,LOW,Sales Representatives of Services,,0,,No immediate recommendation
224,Research & Development,Research Scientist,0.3449104234297656,MEDIUM,Biological Scientists,,0,,No immediate recommendation
