O*NET-SOC Code,Title,Workplace Example,Hot Technology,In Demand
11-1011.00,Chief Executives,Nedstat Sitestat,N,N
11-1011.00,Chief Executives,Norchard Solutions Succession Wizard,N,N
11-1011.00,Chief Executives,Online advertising reporting software,N,N
11-1011.00,Chief Executives,Oracle E-Business Suite,N,N
11-1011.00,Chief Executives,Oracle PeopleSoft,Y,N
11-1011.00,Chief Executives,Oracle Siebel Server Sync,N,N
11-1011.00,Chief Executives,PHP,Y,N
11-1011.00,Chief Executives,Relational database management software,N,N
11-1011.00,Chief Executives,Sage 50 Accounting,N,N
11-1011.00,Chief Executives,SAP software,Y,N
11-1011.00,Chief Executives,SmugMug Flickr,N,N
11-1011.00,Chief Executives,Structured query language SQL,Y,N
11-1011.00,Chief Executives,Web browser software,N,N
11-1011.03,Chief Sustainability Officers,Adobe Acrobat,Y,N
11-1011.03,Chief Sustainability Officers,Adobe Photoshop,Y,N
11-1011.03,Chief Sustainability Officers,Email software,N,N
11-1011.03,Chief Sustainability Officers,Facebook,Y,N
11-1011.03,Chief Sustainability Officers,Management information systems MIS,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Access,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Dynamics GP,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Excel,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Office software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Outlook,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft PowerPoint,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Project,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft SharePoint,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Word,Y,N
11-1011.03,Chief Sustainability Officers,Salesforce software,Y,N
11-1011.03,Chief Sustainability Officers,SAP software,Y,N
11-1011.03,Chief Sustainability Officers,Scheduling software,N,N
11-1011.03,Chief Sustainability Officers,Structure query language SQL,N,N
11-1011.03,Chief Sustainability Officers,Tableau,Y,N
11-1011.03,Chief Sustainability Officers,Teleconferencing software,N,N
11-1011.03,Chief Sustainability Officers,Web browser software,N,N
11-1021.00,General and Operations Managers,Act!,N,N
11-1021.00,General and Operations Managers,ActionWare,N,N
11-1021.00,General and Operations Managers,Adobe Acrobat,Y,N
11-1021.00,General and Operations Managers,Adobe Creative Cloud software,Y,N
11-1021.00,General and Operations Managers,Adobe Photoshop,Y,N
11-1021.00,General and Operations Managers,ADP Workforce Now,N,N
11-1021.00,General and Operations Managers,Airtable,N,N
11-1021.00,General and Operations Managers,Amazon Web Services AWS software,Y,N
11-1021.00,General and Operations Managers,AMG Teleran SalesInSync,N,N
11-1021.00,General and Operations Managers,Apache Hadoop,Y,N
11-1021.00,General and Operations Managers,Apple Final Cut Pro,N,N
11-1021.00,General and Operations Managers,Apple Keynote,N,N
11-1021.00,General and Operations Managers,Apple macOS,Y,N
11-1021.00,General and Operations Managers,Atlassian Confluence,Y,N
11-1021.00,General and Operations Managers,Atlassian JIRA,Y,N
11-1021.00,General and Operations Managers,Autodesk AutoCAD,Y,N
11-1021.00,General and Operations Managers,Avidian Technologies Prophet,N,N
11-1021.00,General and Operations Managers,Blackbaud The Raiser's Edge,N,N
11-1021.00,General and Operations Managers,Blackboard software,N,N
11-1021.00,General and Operations Managers,Citrix cloud computing software,N,N
11-1021.00,General and Operations Managers,CNC Mastercam,N,N
11-1021.00,General and Operations Managers,Customer information control system CICS,N,N
11-1021.00,General and Operations Managers,Database software,N,N
11-1021.00,General and Operations Managers,Datawatch Monarch,N,N
11-1021.00,General and Operations Managers,Deacom ERP,N,N
11-1021.00,General and Operations Managers,Delphi Technology,N,N
11-1021.00,General and Operations Managers,Dropbox,N,N
11-1021.00,General and Operations Managers,Dynamic Energy Systems MedAct,N,N
11-1021.00,General and Operations Managers,Eko,N,N
11-1021.00,General and Operations Managers,Evernote,N,N
11-1021.00,General and Operations Managers,Extensible markup language XML,Y,N
11-1021.00,General and Operations Managers,Facebook,Y,N
11-1021.00,General and Operations Managers,FileMaker Pro,N,N
11-1021.00,General and Operations Managers,Flipgrid,N,N
11-1021.00,General and Operations Managers,Fund accounting software,N,N
11-1021.00,General and Operations Managers,Geographic information system GIS software,N,N
11-1021.00,General and Operations Managers,Google Ads,N,N
11-1021.00,General and Operations Managers,Google Analytics,Y,N
11-1021.00,General and Operations Managers,Google Docs,Y,N
11-1021.00,General and Operations Managers,Google Drive,N,N
11-1021.00,General and Operations Managers,Google Slides,N,N
11-1021.00,General and Operations Managers,GroupMe,N,N
11-1021.00,General and Operations Managers,HEAT Software GoldMine,N,N
11-1021.00,General and Operations Managers,HubSpot software,Y,N
11-1021.00,General and Operations Managers,Human resource management software HRMS,N,N
11-1021.00,General and Operations Managers,IBM Cognos Impromptu,N,N
11-1021.00,General and Operations Managers,IBM Domino,N,N
11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,N,N
11-1021.00,General and Operations Managers,IBM Notes,N,N
11-1021.00,General and Operations Managers,IBM Power Systems software,N,N
11-1021.00,General and Operations Managers,IBM SPSS Statistics,Y,N
11-1021.00,General and Operations Managers,InnQuest Software roomMaster,N,N
11-1021.00,General and Operations Managers,Intuit QuickBooks,Y,N
11-1021.00,General and Operations Managers,Job control language JCL,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Payroll,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,Y,N
11-1021.00,General and Operations Managers,LexisNexis,N,N
11-1021.00,General and Operations Managers,LinkedIn,N,N
11-1021.00,General and Operations Managers,LSA Visual Easy Lean,N,N
11-1021.00,General and Operations Managers,Marketo Marketing Automation,Y,N
11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,N,N
11-1021.00,General and Operations Managers,McAfee,N,N
11-1021.00,General and Operations Managers,Medical condition coding software,N,N
11-1021.00,General and Operations Managers,Microsoft Access,Y,N
11-1021.00,General and Operations Managers,Microsoft Dynamics,N,N
11-1021.00,General and Operations Managers,Microsoft Dynamics GP,N,N
11-1021.00,General and Operations Managers,Microsoft Excel,Y,Y
11-1021.00,General and Operations Managers,Microsoft Exchange,N,N
11-1021.00,General and Operations Managers,Microsoft FrontPage,N,N
11-1021.00,General and Operations Managers,Microsoft Internet Explorer,N,N
11-1021.00,General and Operations Managers,Microsoft Office software,Y,Y
11-1021.00,General and Operations Managers,Microsoft OneNote,N,N
11-1021.00,General and Operations Managers,Microsoft Outlook,Y,N
11-1021.00,General and Operations Managers,Microsoft PowerPoint,Y,Y
11-1021.00,General and Operations Managers,Microsoft Project,Y,N
11-1021.00,General and Operations Managers,Microsoft Publisher,N,N
11-1021.00,General and Operations Managers,Microsoft SharePoint,Y,N
11-1021.00,General and Operations Managers,Microsoft SQL Server,Y,N
11-1021.00,General and Operations Managers,Microsoft Visio,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic for Applications VBA,Y,N
11-1021.00,General and Operations Managers,Microsoft Windows,Y,N
11-1021.00,General and Operations Managers,Microsoft Word,Y,N
11-1021.00,General and Operations Managers,MicroStrategy,N,N
11-1021.00,General and Operations Managers,Minitab,N,N
11-1021.00,General and Operations Managers,Mozilla Firefox,Y,N
11-1021.00,General and Operations Managers,Mozilla Thunderbird,N,N
11-1021.00,General and Operations Managers,Nagios,N,N
11-1021.00,General and Operations Managers,NetSuite ERP,N,N
11-1021.00,General and Operations Managers,NetSuite NetCRM,N,N
11-1021.00,General and Operations Managers,NortonLifeLock cybersecurity software,N,N
11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,N,N
11-1021.00,General and Operations Managers,Oracle Database,Y,N
11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,N,N
11-1021.00,General and Operations Managers,Oracle Eloqua,N,N
11-1021.00,General and Operations Managers,Oracle Fusion Applications,N,N
11-1021.00,General and Operations Managers,Oracle Hyperion,N,N
11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,N,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft,Y,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,N,N
11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,Y,N
11-1021.00,General and Operations Managers,Oracle Solaris,N,N
11-1021.00,General and Operations Managers,Oracle Taleo,N,N
11-1021.00,General and Operations Managers,Payroll software,N,N
11-1021.00,General and Operations Managers,Personnel scheduling software,N,N
11-1021.00,General and Operations Managers,PostgreSQL,Y,N
11-1021.00,General and Operations Managers,Puppet,Y,N
11-1021.00,General and Operations Managers,Qlik Tech QlikView,N,N
11-1021.00,General and Operations Managers,Quest Erwin Data Modeler,N,N
11-1021.00,General and Operations Managers,R,Y,N
11-1021.00,General and Operations Managers,Realization Streamliner,N,N
11-1021.00,General and Operations Managers,Sage 50 Accounting,N,N
11-1021.00,General and Operations Managers,Sage MAS 500,N,N
11-1021.00,General and Operations Managers,Salesforce software,Y,N
11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,N,N
11-1021.00,General and Operations Managers,SAP Business Objects,N,N
11-1021.00,General and Operations Managers,SAP Crystal Reports,N,N
11-1021.00,General and Operations Managers,SAP software,Y,N
11-1021.00,General and Operations Managers,SAS,Y,N
11-1021.00,General and Operations Managers,Savant MobileRanger,N,N
11-1021.00,General and Operations Managers,Screencastify,N,N
11-1021.00,General and Operations Managers,SeaMonkey,N,N
11-1021.00,General and Operations Managers,Shell script,Y,N
11-1021.00,General and Operations Managers,Siemens NX,N,N
11-1021.00,General and Operations Managers,Slack,Y,N
11-1021.00,General and Operations Managers,Social media sites,N,N
11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,N,N
11-1021.00,General and Operations Managers,Splunk Enterprise,Y,N
11-1021.00,General and Operations Managers,StataCorp Stata,N,N
11-1021.00,General and Operations Managers,Structured query language SQL,Y,N
11-1021.00,General and Operations Managers,Sugar CRM,N,N
11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,N,N
11-1021.00,General and Operations Managers,Tableau,Y,N
11-1021.00,General and Operations Managers,Tax software,N,N
11-1021.00,General and Operations Managers,Teradata Database,Y,N
11-1021.00,General and Operations Managers,The MathWorks MATLAB,Y,N
11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,N,N
11-1021.00,General and Operations Managers,Veritas NetBackup,N,N
11-1021.00,General and Operations Managers,vtiger CRM,N,N
11-1021.00,General and Operations Managers,Yardi software,Y,N
11-1021.00,General and Operations Managers,YouTube,N,N
11-1031.00,Legislators,Adobe Acrobat,Y,N
11-1031.00,Legislators,Adobe FrameMaker,N,N
11-1031.00,Legislators,Antenna House,N,N
11-1031.00,Legislators,Apple iWork Keynote,N,N
11-1031.00,Legislators,Apple iWork Pages,N,N
11-1031.00,Legislators,Apple Numbers for Mac,N,N
11-1031.00,Legislators,Cisco AnyConnect,N,N
11-1031.00,Legislators,Cisco Webex,Y,N
11-1031.00,Legislators,Corel WordPerfect Office Suite,N,N
11-1031.00,Legislators,GoodReader,N,N
11-1031.00,Legislators,iAnnotate,N,N
11-1031.00,Legislators,IBM Domino,N,N
11-1031.00,Legislators,Legislative Automative Workflow System LAWS,N,N
11-1031.00,Legislators,LogMeIn GoToMeeting,N,N
11-1031.00,Legislators,Mapping software,N,N
11-1031.00,Legislators,Meeting scheduling software,N,N
11-1031.00,Legislators,Microsoft Access,Y,N
11-1031.00,Legislators,Microsoft Excel,Y,N
11-1031.00,Legislators,Microsoft Exchange,N,N
11-1031.00,Legislators,Microsoft Office software,Y,N
11-1031.00,Legislators,Microsoft Outlook,Y,N
11-1031.00,Legislators,Microsoft SharePoint,Y,N
11-1031.00,Legislators,Microsoft SQL Server,Y,N
11-1031.00,Legislators,Microsoft Visual Basic,Y,N
11-1031.00,Legislators,Microsoft Word,Y,N
11-1031.00,Legislators,Penultimate,N,N
11-1031.00,Legislators,PTC Arbortext,N,N
11-1031.00,Legislators,Rocket/Folio NXT,N,N
11-1031.00,Legislators,Structured query language SQL,Y,N
11-1031.00,Legislators,Web browser software,N,N
11-1031.00,Legislators,Windows Media Player,N,N
11-1031.00,Legislators,XMetaL Author,N,N
11-2011.00,Advertising and Promotions Managers,Actuate BIRT,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat Reader,N,N
11-2011.00,Advertising and Promotions Managers,Adobe After Effects,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Dreamweaver,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Experience Manager (AEM),N,N
11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe InDesign,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe PageMaker,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Photoshop,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Premiere Pro,N,N
11-2011.00,Advertising and Promotions Managers,AdRelevance,N,N
11-2011.00,Advertising and Promotions Managers,Apple Final Cut Pro,N,N
11-2011.00,Advertising and Promotions Managers,Apple iMovie,N,N
11-2011.00,Advertising and Promotions Managers,Avid Media Composer,N,N
11-2011.00,Advertising and Promotions Managers,Brainworks,N,N
11-2011.00,Advertising and Promotions Managers,Business analysis software,N,N
11-2011.00,Advertising and Promotions Managers,Constant Contact,N,N
11-2011.00,Advertising and Promotions Managers,Data visualization software,N,N
11-2011.00,Advertising and Promotions Managers,Data warehousing software,N,N
11-2011.00,Advertising and Promotions Managers,Database software,N,N
11-2011.00,Advertising and Promotions Managers,Drupal,N,N
11-2011.00,Advertising and Promotions Managers,Email software,N,N
11-2011.00,Advertising and Promotions Managers,Experience in Software Webplanner,N,N
11-2011.00,Advertising and Promotions Managers,Extensible markup language XML,Y,N
11-2011.00,Advertising and Promotions Managers,Facebook,Y,N
11-2011.00,Advertising and Promotions Managers,Google Ads,N,N
11-2011.00,Advertising and Promotions Managers,Google Analytics,Y,N
11-2011.00,Advertising and Promotions Managers,Google DoubleClick,N,N
11-2011.00,Advertising and Promotions Managers,Hootsuite,N,N
11-2011.00,Advertising and Promotions Managers,HubSpot software,Y,N
11-2011.00,Advertising and Promotions Managers,Hypertext markup language HTML,Y,N
11-2011.00,Advertising and Promotions Managers,IBM Lotus Notes,N,N
11-2011.00,Advertising and Promotions Managers,Instagram,N,N
11-2011.00,Advertising and Promotions Managers,Inventory tracking software,N,N
11-2011.00,Advertising and Promotions Managers,JavaScript,Y,N
11-2011.00,Advertising and Promotions Managers,LinkedIn,N,N
11-2011.00,Advertising and Promotions Managers,MailChimp,N,N
11-2011.00,Advertising and Promotions Managers,Marketo Marketing Automation,Y,N
11-2011.00,Advertising and Promotions Managers,MarketSharp,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Access,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics Marketing,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Excel,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Office software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Project,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Publisher,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft SharePoint,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Windows,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Word,Y,N
11-2011.00,Advertising and Promotions Managers,Oracle Eloqua,N,N
11-2011.00,Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,N,N
11-2011.00,Advertising and Promotions Managers,Pinterest,N,N
11-2011.00,Advertising and Promotions Managers,Quark enterprise publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Relex Weibull,N,N
11-2011.00,Advertising and Promotions Managers,Salesforce software,Y,N
11-2011.00,Advertising and Promotions Managers,SAP software,Y,N
11-2011.00,Advertising and Promotions Managers,Scheduling software,N,N
11-2011.00,Advertising and Promotions Managers,Social media software,N,N
11-2011.00,Advertising and Promotions Managers,Structure query language SQL,N,N
11-2011.00,Advertising and Promotions Managers,Tableau,Y,N
11-2011.00,Advertising and Promotions Managers,Twitter,N,N
11-2011.00,Advertising and Promotions Managers,Vimeo,N,N
11-2011.00,Advertising and Promotions Managers,Web browser software,N,N
11-2011.00,Advertising and Promotions Managers,WebTrends Analytics,N,N
11-2011.00,Advertising and Promotions Managers,Webtrends software,N,N
11-2011.00,Advertising and Promotions Managers,WordPress,Y,N
11-2011.00,Advertising and Promotions Managers,YouTube,N,N
11-2021.00,Marketing Managers,Adobe Acrobat,Y,N
11-2021.00,Marketing Managers,Adobe Acrobat Reader,N,N
11-2021.00,Marketing Managers,Adobe ActionScript,N,N
11-2021.00,Marketing Managers,Adobe After Effects,Y,N
11-2021.00,Marketing Managers,Adobe Creative Cloud software,Y,N
11-2021.00,Marketing Managers,Adobe Dreamweaver,N,N
11-2021.00,Marketing Managers,Adobe Illustrator,Y,N
11-2021.00,Marketing Managers,Adobe InDesign,Y,N
11-2021.00,Marketing Managers,Adobe Photoshop,Y,N
11-2021.00,Marketing Managers,AdSense Tracker,N,N
11-2021.00,Marketing Managers,AEC Software FastTrack Schedule,N,N
11-2021.00,Marketing Managers,Airtable,N,N
11-2021.00,Marketing Managers,Amazon Redshift,Y,N
11-2021.00,Marketing Managers,Amazon Web Services AWS software,Y,N
11-2021.00,Marketing Managers,Apache Cassandra,Y,N
11-2021.00,Marketing Managers,Apache Hadoop,Y,N
11-2021.00,Marketing Managers,Apache Hive,Y,N
11-2021.00,Marketing Managers,Apache Pig,N,N
11-2021.00,Marketing Managers,Apache Solr,N,N
11-2021.00,Marketing Managers,Apple Final Cut Pro,N,N
11-2021.00,Marketing Managers,Apple Keynote,N,N
11-2021.00,Marketing Managers,Apple macOS,Y,N
11-2021.00,Marketing Managers,Armand Morin MultiTrack Generator,N,N
11-2021.00,Marketing Managers,Asana,Y,N
11-2021.00,Marketing Managers,Atlassian Confluence,Y,N
11-2021.00,Marketing Managers,Atlassian JIRA,Y,Y
11-2021.00,Marketing Managers,Blackbaud The Raiser's Edge,N,N
11-2021.00,Marketing Managers,C,Y,N
11-2021.00,Marketing Managers,Canva,Y,N
11-2021.00,Marketing Managers,Cascading style sheets CSS,Y,N
11-2021.00,Marketing Managers,Citrix cloud computing software,N,N
11-2021.00,Marketing Managers,ClearEDGE,N,N
11-2021.00,Marketing Managers,Constant Contact,N,N
11-2021.00,Marketing Managers,Database reporting software,N,N
11-2021.00,Marketing Managers,Database software,N,N
11-2021.00,Marketing Managers,Databox,N,N
11-2021.00,Marketing Managers,Delphi Technology,N,N
11-2021.00,Marketing Managers,Dropbox,N,N
11-2021.00,Marketing Managers,Drupal,N,N
11-2021.00,Marketing Managers,Dynamic hypertext markup language DHTML,N,N
11-2021.00,Marketing Managers,Eko,N,N
11-2021.00,Marketing Managers,Elasticsearch,Y,N
11-2021.00,Marketing Managers,Evernote,N,N
11-2021.00,Marketing Managers,Extensible hypertext markup language XHTML,N,N
11-2021.00,Marketing Managers,Extensible markup language XML,Y,N
11-2021.00,Marketing Managers,Facebook,Y,N
11-2021.00,Marketing Managers,Figma,Y,N
11-2021.00,Marketing Managers,FileMaker Pro,N,N
11-2021.00,Marketing Managers,Flipgrid,N,N
11-2021.00,Marketing Managers,Fund accounting software,N,N
11-2021.00,Marketing Managers,GitHub,Y,N
11-2021.00,Marketing Managers,Google Ads,N,N
11-2021.00,Marketing Managers,Google Analytics,Y,N
11-2021.00,Marketing Managers,Google Docs,Y,N
11-2021.00,Marketing Managers,Google Drive,N,N
11-2021.00,Marketing Managers,Google Looker Analytics,Y,N
11-2021.00,Marketing Managers,Google Meet,N,N
11-2021.00,Marketing Managers,Google Slides,N,N
11-2021.00,Marketing Managers,HubSpot software,Y,N
11-2021.00,Marketing Managers,Hypertext markup language HTML,Y,N
11-2021.00,Marketing Managers,IBM Cognos Impromptu,N,N
11-2021.00,Marketing Managers,IBM Domino,N,N
11-2021.00,Marketing Managers,IBM InfoSphere DataStage,N,N
11-2021.00,Marketing Managers,IBM Notes,N,N
11-2021.00,Marketing Managers,IBM Power Systems software,N,N
11-2021.00,Marketing Managers,IBM SPSS Statistics,Y,N
11-2021.00,Marketing Managers,Instagram,N,N
11-2021.00,Marketing Managers,Intuit QuickBooks,Y,N
11-2021.00,Marketing Managers,JamBoard,N,N
11-2021.00,Marketing Managers,JavaScript,Y,N
11-2021.00,Marketing Managers,Jupyter Notebook,N,N
11-2021.00,Marketing Managers,Kapwing,N,N
11-2021.00,Marketing Managers,LAMP Stack,N,N
11-2021.00,Marketing Managers,LexisNexis,N,N
11-2021.00,Marketing Managers,LinkedIn,N,N
11-2021.00,Marketing Managers,LogMeIn GoToMeeting,N,N
11-2021.00,Marketing Managers,LogMeIn GoToWebinar,N,N
11-2021.00,Marketing Managers,Lyris HQ Web-Analytics Solution,N,N
11-2021.00,Marketing Managers,Marketo Marketing Automation,Y,N
11-2021.00,Marketing Managers,MarketSharp,N,N
11-2021.00,Marketing Managers,McAfee,N,N
11-2021.00,Marketing Managers,Mentimeter,N,N
11-2021.00,Marketing Managers,Microsoft Access,Y,N
11-2021.00,Marketing Managers,Microsoft Azure software,Y,N
11-2021.00,Marketing Managers,Microsoft Dynamics,N,N
11-2021.00,Marketing Managers,Microsoft Excel,Y,Y
11-2021.00,Marketing Managers,Microsoft Office software,Y,Y
11-2021.00,Marketing Managers,Microsoft Outlook,Y,N
11-2021.00,Marketing Managers,Microsoft PowerPoint,Y,Y
11-2021.00,Marketing Managers,Microsoft Project,Y,N
11-2021.00,Marketing Managers,Microsoft Publisher,N,N
11-2021.00,Marketing Managers,Microsoft SharePoint,Y,N
11-2021.00,Marketing Managers,Microsoft SQL Server,Y,N
11-2021.00,Marketing Managers,Microsoft Teams,Y,N
11-2021.00,Marketing Managers,Microsoft Visio,Y,N
11-2021.00,Marketing Managers,Microsoft Visual Basic,Y,N
11-2021.00,Marketing Managers,Microsoft Visual Basic for Applications VBA,Y,N
11-2021.00,Marketing Managers,Microsoft Visual Basic Scripting Edition VBScript,N,N
11-2021.00,Marketing Managers,Microsoft Word,Y,N
11-2021.00,Marketing Managers,MicroStrategy,N,N
11-2021.00,Marketing Managers,Minitab,N,N
11-2021.00,Marketing Managers,MySQL,Y,N
11-2021.00,Marketing Managers,Nearpod,N,N
11-2021.00,Marketing Managers,Nedstat Sitestat,N,N
11-2021.00,Marketing Managers,NetSuite ERP,N,N
11-2021.00,Marketing Managers,NortonLifeLock cybersecurity software,N,N
11-2021.00,Marketing Managers,NoSQL,Y,N
11-2021.00,Marketing Managers,Online advertising reporting software,N,N
11-2021.00,Marketing Managers,Oracle Beehive,N,N
11-2021.00,Marketing Managers,Oracle Business Intelligence Enterprise Edition,N,N
11-2021.00,Marketing Managers,Oracle Database,Y,N
11-2021.00,Marketing Managers,Oracle E-Business Suite Financials,N,N
11-2021.00,Marketing Managers,Oracle Eloqua,N,N
11-2021.00,Marketing Managers,Oracle Fusion Applications,N,N
11-2021.00,Marketing Managers,Oracle Hyperion,N,N
11-2021.00,Marketing Managers,Oracle JavaServer Pages JSP,N,N
11-2021.00,Marketing Managers,Oracle PeopleSoft,Y,N
11-2021.00,Marketing Managers,Oracle PeopleSoft Financials,N,N
11-2021.00,Marketing Managers,Oracle PL/SQL,Y,N
11-2021.00,Marketing Managers,Oracle Siebel Server Sync,N,N
11-2021.00,Marketing Managers,Padlet,N,N
11-2021.00,Marketing Managers,PHP,Y,N
11-2021.00,Marketing Managers,Python,Y,N
11-2021.00,Marketing Managers,QAD Marketing Automation,N,N
11-2021.00,Marketing Managers,Qlik Tech QlikView,N,N
11-2021.00,Marketing Managers,R,Y,N
11-2021.00,Marketing Managers,Ruby,Y,N
11-2021.00,Marketing Managers,Ruby on Rails,N,N
11-2021.00,Marketing Managers,Sage SalesLogix,N,N
11-2021.00,Marketing Managers,Salesforce software,Y,Y
11-2021.00,Marketing Managers,Salesforce.com Salesforce CRM,N,N
11-2021.00,Marketing Managers,SAP Business Objects,N,N
11-2021.00,Marketing Managers,SAP software,Y,N
11-2021.00,Marketing Managers,SAS,Y,N
11-2021.00,Marketing Managers,Screencast-O-Matic,N,N
11-2021.00,Marketing Managers,Screencastify,N,N
11-2021.00,Marketing Managers,Slack,Y,N
11-2021.00,Marketing Managers,SmugMug Flickr,N,N
11-2021.00,Marketing Managers,Social media sites,N,N
11-2021.00,Marketing Managers,Software as a service SaaS,N,N
11-2021.00,Marketing Managers,Splunk Enterprise,Y,N
11-2021.00,Marketing Managers,StataCorp Stata,N,N
11-2021.00,Marketing Managers,Structured query language SQL,Y,Y
11-2021.00,Marketing Managers,Swift,Y,N
11-2021.00,Marketing Managers,Tableau,Y,N
11-2021.00,Marketing Managers,Tax software,N,N
11-2021.00,Marketing Managers,Teradata Database,Y,N
11-2021.00,Marketing Managers,The MathWorks MATLAB,Y,N
11-2021.00,Marketing Managers,TikTok,Y,N
11-2021.00,Marketing Managers,Web browser software,N,N
11-2021.00,Marketing Managers,WeVideo,N,N
11-2021.00,Marketing Managers,WordPress,Y,N
11-2021.00,Marketing Managers,Yardi software,Y,N
11-2021.00,Marketing Managers,YouTube,N,N
11-2022.00,Sales Managers,Act!,N,N
11-2022.00,Sales Managers,Adobe Acrobat,Y,N
