EmployeeNumber,JobRole,ONETRole,SkillGap,SkillGapCount
125,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
126,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
128,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",6
129,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
131,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
132,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
133,Human Resources,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
134,Research Scientist,Biological Scientists,,0
137,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
138,Research Scientist,Biological Scientists,,0
139,Healthcare Representative,Sales Representatives of Services,,0
140,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
141,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
142,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
143,Research Scientist,Biological Scientists,,0
144,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
145,Healthcare Representative,Sales Representatives of Services,,0
147,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
148,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
150,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
151,Research Scientist,Biological Scientists,,0
152,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7
153,Manager,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
154,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
155,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
158,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
159,Research Scientist,Biological Scientists,,0
160,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
161,Research Scientist,Biological Scientists,,0
162,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
163,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
164,Research Scientist,Biological Scientists,,0
165,Healthcare Representative,Sales Representatives of Services,,0
167,Sales Representative,Sales Representatives of Services,,0
169,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
170,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
171,Research Scientist,Biological Scientists,,0
174,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
175,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
176,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
177,Human Resources,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
178,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
179,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
182,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
183,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
184,Human Resources,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
190,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
192,Research Scientist,Biological Scientists,,0
193,Research Scientist,Biological Scientists,,0
194,Research Scientist,Biological Scientists,,0
195,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
197,Research Scientist,Biological Scientists,,0
198,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",6
199,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7
200,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
201,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
202,Research Scientist,Biological Scientists,,0
204,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
205,Sales Representative,Sales Representatives of Services,,0
206,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
207,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
208,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
211,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
214,Research Scientist,Biological Scientists,,0
215,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
216,Sales Representative,Sales Representatives of Services,,0
217,Research Scientist,Biological Scientists,,0
218,Research Scientist,Biological Scientists,,0
221,Research Scientist,Biological Scientists,,0
223,Healthcare Representative,Sales Representatives of Services,,0
224,Research Scientist,Biological Scientists,,0
226,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
227,Research Scientist,Biological Scientists,,0
228,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
230,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
231,Research Scientist,Biological Scientists,,0
233,Research Scientist,Biological Scientists,,0
235,Sales Representative,Sales Representatives of Services,,0
238,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
239,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
240,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
241,Research Scientist,Biological Scientists,,0
242,Research Scientist,Biological Scientists,,0
243,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
244,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
245,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
246,Research Scientist,Biological Scientists,,0
247,Research Scientist,Biological Scientists,,0
248,Sales Representative,Sales Representatives of Services,,0
249,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
250,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
252,Research Scientist,Biological Scientists,,0
253,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
254,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
256,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
258,Healthcare Representative,Sales Representatives of Services,,0
259,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
260,Research Scientist,Biological Scientists,,0
261,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
262,Research Scientist,Biological Scientists,,0
264,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
267,Research Scientist,Biological Scientists,,0
269,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
270,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
271,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
273,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
274,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7
275,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
277,Research Scientist,Biological Scientists,,0
281,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
282,Healthcare Representative,Sales Representatives of Services,,0
283,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
284,Research Scientist,Biological Scientists,,0
286,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
287,Healthcare Representative,Sales Representatives of Services,,0
288,Healthcare Representative,Sales Representatives of Services,,0
291,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
292,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
293,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
296,Research Director,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
297,Research Scientist,Biological Scientists,,0
298,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
299,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
300,Research Scientist,Biological Scientists,,0
302,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
303,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
304,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
305,Research Scientist,Biological Scientists,,0
306,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
307,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
308,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking",6
309,Research Scientist,Biological Scientists,,0
311,Sales Representative,Sales Representatives of Services,,0
312,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
314,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
315,Research Scientist,Biological Scientists,,0
316,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
319,Manager,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
321,Human Resources,Human Resources Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
323,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
325,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
327,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
328,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
329,Manager,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",7
330,Sales Representative,Sales Representatives of Services,,0
331,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
332,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
333,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
334,Research Scientist,Biological Scientists,,0
335,Research Scientist,Biological Scientists,,0
336,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
337,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
338,Research Scientist,Biological Scientists,,0
339,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science",6
340,Research Scientist,Biological Scientists,,0
341,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
342,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
343,Healthcare Representative,Sales Representatives of Services,,0
346,Research Scientist,Biological Scientists,,0
347,Research Scientist,Biological Scientists,,0
349,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
350,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
351,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking",6
352,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
353,Research Scientist,Biological Scientists,,0
355,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
359,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
361,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
