O*NET-SOC Code,Title,Element Name,Data Value
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Active Learning,3.88
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Learning Strategies,3.88
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Monitoring,3.88
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Mathematics,2.75
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Science,1.88
11-9032.00,"Education Administrators, Kindergarten through Secondary",Active Listening,4.88
11-9032.00,"Education Administrators, Kindergarten through Secondary",Learning Strategies,4.88
11-9032.00,"Education Administrators, Kindergarten through Secondary",Reading Comprehension,4.75
11-9032.00,"Education Administrators, Kindergarten through Secondary",Speaking,4.75
11-9032.00,"Education Administrators, Kindergarten through Secondary",Writing,4.62
11-9032.00,"Education Administrators, Kindergarten through Secondary",Critical Thinking,4.62
11-9032.00,"Education Administrators, Kindergarten through Secondary",Active Learning,4.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",Monitoring,4.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",Mathematics,3.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",Science,2.0
11-9033.00,"Education Administrators, Postsecondary",Reading Comprehension,4.12
11-9033.00,"Education Administrators, Postsecondary",Critical Thinking,4.12
11-9033.00,"Education Administrators, Postsecondary",Active Listening,4.0
11-9033.00,"Education Administrators, Postsecondary",Writing,4.0
11-9033.00,"Education Administrators, Postsecondary",Speaking,4.0
11-9033.00,"Education Administrators, Postsecondary",Monitoring,4.0
11-9033.00,"Education Administrators, Postsecondary",Active Learning,3.88
11-9033.00,"Education Administrators, Postsecondary",Learning Strategies,3.75
11-9033.00,"Education Administrators, Postsecondary",Mathematics,2.88
11-9033.00,"Education Administrators, Postsecondary",Science,1.5
11-9041.00,Architectural and Engineering Managers,Reading Comprehension,4.12
11-9041.00,Architectural and Engineering Managers,Active Listening,4.0
11-9041.00,Architectural and Engineering Managers,Writing,4.0
11-9041.00,Architectural and Engineering Managers,Speaking,4.0
11-9041.00,Architectural and Engineering Managers,Mathematics,3.88
11-9041.00,Architectural and Engineering Managers,Critical Thinking,3.88
11-9041.00,Architectural and Engineering Managers,Active Learning,3.88
11-9041.00,Architectural and Engineering Managers,Monitoring,3.75
11-9041.00,Architectural and Engineering Managers,Learning Strategies,3.25
11-9041.00,Architectural and Engineering Managers,Science,2.62
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Reading Comprehension,3.62
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Writing,3.62
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Speaking,3.62
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Critical Thinking,3.62
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Active Listening,3.5
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Active Learning,3.25
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Monitoring,3.25
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Mathematics,3.12
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Science,3.12
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Learning Strategies,2.88
11-9051.00,Food Service Managers,Active Listening,3.88
11-9051.00,Food Service Managers,Speaking,3.88
11-9051.00,Food Service Managers,Monitoring,3.88
11-9051.00,Food Service Managers,Reading Comprehension,3.75
11-9051.00,Food Service Managers,Critical Thinking,3.62
11-9051.00,Food Service Managers,Active Learning,3.12
11-9051.00,Food Service Managers,Learning Strategies,3.12
11-9051.00,Food Service Managers,Writing,3.0
11-9051.00,Food Service Managers,Mathematics,2.88
11-9051.00,Food Service Managers,Science,1.62
11-9071.00,Gambling Managers,Critical Thinking,4.0
11-9071.00,Gambling Managers,Speaking,3.88
11-9071.00,Gambling Managers,Monitoring,3.88
11-9071.00,Gambling Managers,Active Listening,3.75
11-9071.00,Gambling Managers,Writing,3.62
11-9071.00,Gambling Managers,Reading Comprehension,3.5
11-9071.00,Gambling Managers,Active Learning,3.5
11-9071.00,Gambling Managers,Learning Strategies,3.25
11-9071.00,Gambling Managers,Mathematics,3.12
11-9071.00,Gambling Managers,Science,1.62
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Reading Comprehension,3.88
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Active Listening,3.88
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Speaking,3.88
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Critical Thinking,3.75
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Monitoring,3.75
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Writing,3.5
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Active Learning,3.25
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Learning Strategies,3.12
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Mathematics,2.5
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Science,1.0
11-9081.00,Lodging Managers,Active Listening,4.12
11-9081.00,Lodging Managers,Speaking,4.0
11-9081.00,Lodging Managers,Reading Comprehension,3.88
11-9081.00,Lodging Managers,Writing,3.88
11-9081.00,Lodging Managers,Critical Thinking,3.75
11-9081.00,Lodging Managers,Active Learning,3.75
11-9081.00,Lodging Managers,Monitoring,3.75
11-9081.00,Lodging Managers,Learning Strategies,3.38
11-9081.00,Lodging Managers,Mathematics,2.62
11-9081.00,Lodging Managers,Science,1.0
11-9111.00,Medical and Health Services Managers,Speaking,4.12
11-9111.00,Medical and Health Services Managers,Critical Thinking,4.12
11-9111.00,Medical and Health Services Managers,Reading Comprehension,4.0
11-9111.00,Medical and Health Services Managers,Active Listening,4.0
11-9111.00,Medical and Health Services Managers,Writing,4.0
11-9111.00,Medical and Health Services Managers,Monitoring,4.0
11-9111.00,Medical and Health Services Managers,Active Learning,3.88
11-9111.00,Medical and Health Services Managers,Learning Strategies,3.25
11-9111.00,Medical and Health Services Managers,Mathematics,2.75
11-9111.00,Medical and Health Services Managers,Science,2.5
11-9121.00,Natural Sciences Managers,Science,4.12
11-9121.00,Natural Sciences Managers,Reading Comprehension,4.0
11-9121.00,Natural Sciences Managers,Active Listening,4.0
11-9121.00,Natural Sciences Managers,Critical Thinking,4.0
11-9121.00,Natural Sciences Managers,Monitoring,4.0
11-9121.00,Natural Sciences Managers,Writing,3.88
11-9121.00,Natural Sciences Managers,Speaking,3.88
11-9121.00,Natural Sciences Managers,Active Learning,3.5
11-9121.00,Natural Sciences Managers,Learning Strategies,3.5
11-9121.00,Natural Sciences Managers,Mathematics,3.12
11-9121.01,Clinical Research Coordinators,Reading Comprehension,4.0
11-9121.01,Clinical Research Coordinators,Active Listening,4.0
11-9121.01,Clinical Research Coordinators,Writing,4.0
11-9121.01,Clinical Research Coordinators,Speaking,3.88
11-9121.01,Clinical Research Coordinators,Critical Thinking,3.75
11-9121.01,Clinical Research Coordinators,Monitoring,3.62
11-9121.01,Clinical Research Coordinators,Active Learning,3.38
11-9121.01,Clinical Research Coordinators,Learning Strategies,3.12
11-9121.01,Clinical Research Coordinators,Science,3.0
11-9121.01,Clinical Research Coordinators,Mathematics,2.88
11-9121.02,Water Resource Specialists,Reading Comprehension,4.0
11-9121.02,Water Resource Specialists,Active Listening,4.0
11-9121.02,Water Resource Specialists,Writing,4.0
11-9121.02,Water Resource Specialists,Speaking,4.0
11-9121.02,Water Resource Specialists,Critical Thinking,4.0
11-9121.02,Water Resource Specialists,Mathematics,3.25
11-9121.02,Water Resource Specialists,Active Learning,3.25
11-9121.02,Water Resource Specialists,Monitoring,3.25
11-9121.02,Water Resource Specialists,Learning Strategies,3.12
11-9121.02,Water Resource Specialists,Science,3.0
11-9131.00,Postmasters and Mail Superintendents,Reading Comprehension,4.0
11-9131.00,Postmasters and Mail Superintendents,Active Listening,4.0
11-9131.00,Postmasters and Mail Superintendents,Speaking,4.0
11-9131.00,Postmasters and Mail Superintendents,Critical Thinking,3.75
11-9131.00,Postmasters and Mail Superintendents,Monitoring,3.75
11-9131.00,Postmasters and Mail Superintendents,Learning Strategies,3.38
11-9131.00,Postmasters and Mail Superintendents,Writing,3.25
11-9131.00,Postmasters and Mail Superintendents,Active Learning,3.25
11-9131.00,Postmasters and Mail Superintendents,Mathematics,2.75
11-9131.00,Postmasters and Mail Superintendents,Science,1.5
11-9141.00,"Property, Real Estate, and Community Association Managers",Reading Comprehension,4.0
11-9141.00,"Property, Real Estate, and Community Association Managers",Speaking,4.0
11-9141.00,"Property, Real Estate, and Community Association Managers",Active Listening,3.88
11-9141.00,"Property, Real Estate, and Community Association Managers",Critical Thinking,3.88
11-9141.00,"Property, Real Estate, and Community Association Managers",Writing,3.75
11-9141.00,"Property, Real Estate, and Community Association Managers",Monitoring,3.38
11-9141.00,"Property, Real Estate, and Community Association Managers",Active Learning,3.12
11-9141.00,"Property, Real Estate, and Community Association Managers",Mathematics,3.0
11-9141.00,"Property, Real Estate, and Community Association Managers",Learning Strategies,2.75
11-9141.00,"Property, Real Estate, and Community Association Managers",Science,1.12
11-9151.00,Social and Community Service Managers,Active Listening,3.88
11-9151.00,Social and Community Service Managers,Critical Thinking,3.88
11-9151.00,Social and Community Service Managers,Active Learning,3.88
11-9151.00,Social and Community Service Managers,Monitoring,3.88
11-9151.00,Social and Community Service Managers,Reading Comprehension,3.75
11-9151.00,Social and Community Service Managers,Writing,3.75
11-9151.00,Social and Community Service Managers,Speaking,3.75
11-9151.00,Social and Community Service Managers,Learning Strategies,3.62
11-9151.00,Social and Community Service Managers,Mathematics,2.62
11-9151.00,Social and Community Service Managers,Science,2.25
11-9161.00,Emergency Management Directors,Speaking,4.12
11-9161.00,Emergency Management Directors,Reading Comprehension,4.0
11-9161.00,Emergency Management Directors,Active Listening,4.0
11-9161.00,Emergency Management Directors,Writing,4.0
11-9161.00,Emergency Management Directors,Critical Thinking,4.0
11-9161.00,Emergency Management Directors,Monitoring,4.0
11-9161.00,Emergency Management Directors,Learning Strategies,3.88
11-9161.00,Emergency Management Directors,Active Learning,3.75
11-9161.00,Emergency Management Directors,Mathematics,3.0
11-9161.00,Emergency Management Directors,Science,1.88
11-9171.00,Funeral Home Managers,Active Listening,3.88
11-9171.00,Funeral Home Managers,Reading Comprehension,3.62
11-9171.00,Funeral Home Managers,Speaking,3.5
11-9171.00,Funeral Home Managers,Critical Thinking,3.5
11-9171.00,Funeral Home Managers,Monitoring,3.38
11-9171.00,Funeral Home Managers,Writing,3.12
11-9171.00,Funeral Home Managers,Active Learning,2.88
11-9171.00,Funeral Home Managers,Learning Strategies,2.88
11-9171.00,Funeral Home Managers,Mathematics,2.62
11-9171.00,Funeral Home Managers,Science,1.5
11-9179.01,Fitness and Wellness Coordinators,Speaking,3.88
11-9179.01,Fitness and Wellness Coordinators,Active Listening,3.75
11-9179.01,Fitness and Wellness Coordinators,Reading Comprehension,3.62
11-9179.01,Fitness and Wellness Coordinators,Critical Thinking,3.62
11-9179.01,Fitness and Wellness Coordinators,Writing,3.5
11-9179.01,Fitness and Wellness Coordinators,Active Learning,3.38
11-9179.01,Fitness and Wellness Coordinators,Learning Strategies,3.38
11-9179.01,Fitness and Wellness Coordinators,Monitoring,3.38
11-9179.01,Fitness and Wellness Coordinators,Mathematics,2.12
