EmployeeNumber,CurrentSkill,Source
53,Complex Problem Solving,SYNTHETIC_MVP
53,Active Listening,SYNTHETIC_MVP
54,Writing,SYNTHETIC_MVP
54,Systems Evaluation,SYNTHETIC_MVP
54,Project Management,SYNTHETIC_MVP
54,Programming,SYNTHETIC_MVP
54,Time Management,SYNTHETIC_MVP
54,Active Listening,SYNTHETIC_MVP
55,Project Management,SYNTHETIC_MVP
55,Complex Problem Solving,SYNTHETIC_MVP
55,Systems Evaluation,SYNTHETIC_MVP
55,Active Listening,SYNTHETIC_MVP
56,Data Analysis,SYNTHETIC_MVP
56,Critical Thinking,SYNTHETIC_MVP
56,Programming,SYNTHETIC_MVP
57,Programming,SYNTHETIC_MVP
57,Systems Evaluation,SYNTHETIC_MVP
57,Active Listening,SYNTHETIC_MVP
58,Systems Analysis,SYNTHETIC_MVP
58,Programming,SYNTHETIC_MVP
58,Reading Comprehension,SYNTHETIC_MVP
58,Writing,SYNTHETIC_MVP
60,Critical Thinking,SYNTHETIC_MVP
60,Systems Evaluation,SYNTHETIC_MVP
60,Speaking,SYNTHETIC_MVP
60,Project Management,SYNTHETIC_MVP
60,Data Analysis,SYNTHETIC_MVP
60,Writing,SYNTHETIC_MVP
61,Systems Analysis,SYNTHETIC_MVP
61,Reading Comprehension,SYNTHETIC_MVP
61,Project Management,SYNTHETIC_MVP
61,Active Listening,SYNTHETIC_MVP
62,Programming,SYNTHETIC_MVP
62,Time Management,SYNTHETIC_MVP
62,Data Analysis,SYNTHETIC_MVP
62,Writing,SYNTHETIC_MVP
62,Speaking,SYNTHETIC_MVP
62,Critical Thinking,SYNTHETIC_MVP
63,Writing,SYNTHETIC_MVP
63,Project Management,SYNTHETIC_MVP
63,Reading Comprehension,SYNTHETIC_MVP
63,Complex Problem Solving,SYNTHETIC_MVP
63,Data Analysis,SYNTHETIC_MVP
63,Active Listening,SYNTHETIC_MVP
64,Programming,SYNTHETIC_MVP
64,Writing,SYNTHETIC_MVP
64,Critical Thinking,SYNTHETIC_MVP
64,Data Analysis,SYNTHETIC_MVP
64,Complex Problem Solving,SYNTHETIC_MVP
65,Active Listening,SYNTHETIC_MVP
65,Project Management,SYNTHETIC_MVP
65,Time Management,SYNTHETIC_MVP
65,Speaking,SYNTHETIC_MVP
65,Programming,SYNTHETIC_MVP
68,Systems Analysis,SYNTHETIC_MVP
68,Active Listening,SYNTHETIC_MVP
68,Programming,SYNTHETIC_MVP
70,Speaking,SYNTHETIC_MVP
70,Data Analysis,SYNTHETIC_MVP
70,Complex Problem Solving,SYNTHETIC_MVP
70,Time Management,SYNTHETIC_MVP
70,Programming,SYNTHETIC_MVP
72,Writing,SYNTHETIC_MVP
72,Systems Evaluation,SYNTHETIC_MVP
72,Critical Thinking,SYNTHETIC_MVP
72,Systems Analysis,SYNTHETIC_MVP
73,Programming,SYNTHETIC_MVP
73,Time Management,SYNTHETIC_MVP
73,Complex Problem Solving,SYNTHETIC_MVP
73,Systems Analysis,SYNTHETIC_MVP
73,Speaking,SYNTHETIC_MVP
73,Systems Evaluation,SYNTHETIC_MVP
74,Data Analysis,SYNTHETIC_MVP
74,Project Management,SYNTHETIC_MVP
74,Time Management,SYNTHETIC_MVP
75,Critical Thinking,SYNTHETIC_MVP
75,Active Listening,SYNTHETIC_MVP
75,Programming,SYNTHETIC_MVP
75,Data Analysis,SYNTHETIC_MVP
75,Systems Evaluation,SYNTHETIC_MVP
76,Programming,SYNTHETIC_MVP
76,Reading Comprehension,SYNTHETIC_MVP
76,Writing,SYNTHETIC_MVP
76,Critical Thinking,SYNTHETIC_MVP
76,Complex Problem Solving,SYNTHETIC_MVP
76,Active Listening,SYNTHETIC_MVP
77,Complex Problem Solving,SYNTHETIC_MVP
77,Programming,SYNTHETIC_MVP
77,Speaking,SYNTHETIC_MVP
77,Project Management,SYNTHETIC_MVP
77,Active Listening,SYNTHETIC_MVP
77,Time Management,SYNTHETIC_MVP
78,Reading Comprehension,SYNTHETIC_MVP
78,Data Analysis,SYNTHETIC_MVP
78,Active Listening,SYNTHETIC_MVP
78,Project Management,SYNTHETIC_MVP
78,Programming,SYNTHETIC_MVP
79,Systems Evaluation,SYNTHETIC_MVP
79,Critical Thinking,SYNTHETIC_MVP
79,Time Management,SYNTHETIC_MVP
79,Writing,SYNTHETIC_MVP
79,Programming,SYNTHETIC_MVP
79,Project Management,SYNTHETIC_MVP
80,Project Management,SYNTHETIC_MVP
80,Critical Thinking,SYNTHETIC_MVP
80,Systems Evaluation,SYNTHETIC_MVP
80,Active Listening,SYNTHETIC_MVP
81,Reading Comprehension,SYNTHETIC_MVP
81,Systems Analysis,SYNTHETIC_MVP
81,Project Management,SYNTHETIC_MVP
81,Critical Thinking,SYNTHETIC_MVP
81,Speaking,SYNTHETIC_MVP
81,Programming,SYNTHETIC_MVP
83,Speaking,SYNTHETIC_MVP
83,Reading Comprehension,SYNTHETIC_MVP
83,Project Management,SYNTHETIC_MVP
84,Writing,SYNTHETIC_MVP
84,Complex Problem Solving,SYNTHETIC_MVP
84,Time Management,SYNTHETIC_MVP
84,Critical Thinking,SYNTHETIC_MVP
84,Systems Evaluation,SYNTHETIC_MVP
84,Data Analysis,SYNTHETIC_MVP
85,Time Management,SYNTHETIC_MVP
85,Project Management,SYNTHETIC_MVP
85,Programming,SYNTHETIC_MVP
85,Active Listening,SYNTHETIC_MVP
85,Systems Evaluation,SYNTHETIC_MVP
86,Systems Evaluation,SYNTHETIC_MVP
86,Programming,SYNTHETIC_MVP
86,Critical Thinking,SYNTHETIC_MVP
86,Systems Analysis,SYNTHETIC_MVP
86,Complex Problem Solving,SYNTHETIC_MVP
86,Time Management,SYNTHETIC_MVP
88,Critical Thinking,SYNTHETIC_MVP
88,Speaking,SYNTHETIC_MVP
88,Time Management,SYNTHETIC_MVP
90,Time Management,SYNTHETIC_MVP
90,Speaking,SYNTHETIC_MVP
90,Project Management,SYNTHETIC_MVP
90,Complex Problem Solving,SYNTHETIC_MVP
90,Critical Thinking,SYNTHETIC_MVP
91,Time Management,SYNTHETIC_MVP
91,Project Management,SYNTHETIC_MVP
91,Programming,SYNTHETIC_MVP
91,Data Analysis,SYNTHETIC_MVP
91,Systems Evaluation,SYNTHETIC_MVP
91,Writing,SYNTHETIC_MVP
94,Writing,SYNTHETIC_MVP
94,Critical Thinking,SYNTHETIC_MVP
94,Time Management,SYNTHETIC_MVP
94,Systems Evaluation,SYNTHETIC_MVP
95,Active Listening,SYNTHETIC_MVP
95,Systems Evaluation,SYNTHETIC_MVP
95,Critical Thinking,SYNTHETIC_MVP
96,Data Analysis,SYNTHETIC_MVP
96,Writing,SYNTHETIC_MVP
96,Speaking,SYNTHETIC_MVP
96,Systems Evaluation,SYNTHETIC_MVP
96,Active Listening,SYNTHETIC_MVP
97,Project Management,SYNTHETIC_MVP
97,Systems Evaluation,SYNTHETIC_MVP
97,Reading Comprehension,SYNTHETIC_MVP
97,Writing,SYNTHETIC_MVP
97,Data Analysis,SYNTHETIC_MVP
98,Systems Evaluation,SYNTHETIC_MVP
98,Systems Analysis,SYNTHETIC_MVP
98,Speaking,SYNTHETIC_MVP
100,Project Management,SYNTHETIC_MVP
100,Systems Evaluation,SYNTHETIC_MVP
100,Systems Analysis,SYNTHETIC_MVP
100,Critical Thinking,SYNTHETIC_MVP
100,Writing,SYNTHETIC_MVP
100,Reading Comprehension,SYNTHETIC_MVP
101,Time Management,SYNTHETIC_MVP
101,Data Analysis,SYNTHETIC_MVP
101,Active Listening,SYNTHETIC_MVP
102,Speaking,SYNTHETIC_MVP
102,Time Management,SYNTHETIC_MVP
102,Writing,SYNTHETIC_MVP
102,Systems Evaluation,SYNTHETIC_MVP
103,Critical Thinking,SYNTHETIC_MVP
103,Active Listening,SYNTHETIC_MVP
103,Writing,SYNTHETIC_MVP
103,Complex Problem Solving,SYNTHETIC_MVP
103,Project Management,SYNTHETIC_MVP
104,Time Management,SYNTHETIC_MVP
104,Speaking,SYNTHETIC_MVP
104,Reading Comprehension,SYNTHETIC_MVP
104,Systems Evaluation,SYNTHETIC_MVP
104,Writing,SYNTHETIC_MVP
105,Programming,SYNTHETIC_MVP
105,Critical Thinking,SYNTHETIC_MVP
105,Systems Evaluation,SYNTHETIC_MVP
105,Time Management,SYNTHETIC_MVP
105,Data Analysis,SYNTHETIC_MVP
106,Active Listening,SYNTHETIC_MVP
106,Project Management,SYNTHETIC_MVP
106,Systems Evaluation,SYNTHETIC_MVP
106,Data Analysis,SYNTHETIC_MVP
106,Critical Thinking,SYNTHETIC_MVP
107,Complex Problem Solving,SYNTHETIC_MVP
107,Systems Analysis,SYNTHETIC_MVP
107,Active Listening,SYNTHETIC_MVP
107,Data Analysis,SYNTHETIC_MVP
107,Time Management,SYNTHETIC_MVP
110,Project Management,SYNTHETIC_MVP
110,Active Listening,SYNTHETIC_MVP
110,Systems Analysis,SYNTHETIC_MVP
110,Programming,SYNTHETIC_MVP
110,Complex Problem Solving,SYNTHETIC_MVP
112,Critical Thinking,SYNTHETIC_MVP
112,Data Analysis,SYNTHETIC_MVP
112,Active Listening,SYNTHETIC_MVP
112,Programming,SYNTHETIC_MVP
113,Reading Comprehension,SYNTHETIC_MVP
113,Systems Analysis,SYNTHETIC_MVP
113,Time Management,SYNTHETIC_MVP
113,Writing,SYNTHETIC_MVP
116,Data Analysis,SYNTHETIC_MVP
116,Critical Thinking,SYNTHETIC_MVP
116,Time Management,SYNTHETIC_MVP
116,Writing,SYNTHETIC_MVP
116,Complex Problem Solving,SYNTHETIC_MVP
117,Programming,SYNTHETIC_MVP
117,Active Listening,SYNTHETIC_MVP
117,Systems Analysis,SYNTHETIC_MVP
117,Writing,SYNTHETIC_MVP
117,Time Management,SYNTHETIC_MVP
118,Systems Evaluation,SYNTHETIC_MVP
118,Systems Analysis,SYNTHETIC_MVP
118,Critical Thinking,SYNTHETIC_MVP
118,Active Listening,SYNTHETIC_MVP
118,Reading Comprehension,SYNTHETIC_MVP
119,Time Management,SYNTHETIC_MVP
119,Data Analysis,SYNTHETIC_MVP
119,Active Listening,SYNTHETIC_MVP
120,Critical Thinking,SYNTHETIC_MVP
120,Active Listening,SYNTHETIC_MVP
120,Speaking,SYNTHETIC_MVP
120,Reading Comprehension,SYNTHETIC_MVP
120,Project Management,SYNTHETIC_MVP
120,Data Analysis,SYNTHETIC_MVP
121,Programming,SYNTHETIC_MVP
121,Reading Comprehension,SYNTHETIC_MVP
121,Project Management,SYNTHETIC_MVP
121,Writing,SYNTHETIC_MVP
124,Programming,SYNTHETIC_MVP
124,Critical Thinking,SYNTHETIC_MVP
124,Systems Evaluation,SYNTHETIC_MVP
124,Speaking,SYNTHETIC_MVP
124,Systems Analysis,SYNTHETIC_MVP
124,Complex Problem Solving,SYNTHETIC_MVP
125,Systems Analysis,SYNTHETIC_MVP
125,Programming,SYNTHETIC_MVP
125,Reading Comprehension,SYNTHETIC_MVP
125,Time Management,SYNTHETIC_MVP
125,Systems Evaluation,SYNTHETIC_MVP
125,Project Management,SYNTHETIC_MVP
126,Active Listening,SYNTHETIC_MVP
126,Time Management,SYNTHETIC_MVP
126,Systems Analysis,SYNTHETIC_MVP
128,Reading Comprehension,SYNTHETIC_MVP
128,Speaking,SYNTHETIC_MVP
128,Writing,SYNTHETIC_MVP
128,Systems Evaluation,SYNTHETIC_MVP
128,Active Listening,SYNTHETIC_MVP
129,Critical Thinking,SYNTHETIC_MVP
129,Systems Evaluation,SYNTHETIC_MVP
129,Active Listening,SYNTHETIC_MVP
131,Reading Comprehension,SYNTHETIC_MVP
131,Systems Evaluation,SYNTHETIC_MVP
131,Data Analysis,SYNTHETIC_MVP
131,Systems Analysis,SYNTHETIC_MVP
131,Speaking,SYNTHETIC_MVP
132,Speaking,SYNTHETIC_MVP
132,Project Management,SYNTHETIC_MVP
132,Active Listening,SYNTHETIC_MVP
132,Time Management,SYNTHETIC_MVP
133,Data Analysis,SYNTHETIC_MVP
133,Writing,SYNTHETIC_MVP
133,Systems Evaluation,SYNTHETIC_MVP
133,Time Management,SYNTHETIC_MVP
134,Speaking,SYNTHETIC_MVP
134,Critical Thinking,SYNTHETIC_MVP
134,Time Management,SYNTHETIC_MVP
134,Data Analysis,SYNTHETIC_MVP
134,Active Listening,SYNTHETIC_MVP
134,Complex Problem Solving,SYNTHETIC_MVP
137,Active Listening,SYNTHETIC_MVP
137,Data Analysis,SYNTHETIC_MVP
137,Speaking,SYNTHETIC_MVP
137,Writing,SYNTHETIC_MVP
138,Systems Evaluation,SYNTHETIC_MVP
138,Active Listening,SYNTHETIC_MVP
138,Speaking,SYNTHETIC_MVP
138,Complex Problem Solving,SYNTHETIC_MVP
138,Project Management,SYNTHETIC_MVP
139,Complex Problem Solving,SYNTHETIC_MVP
139,Time Management,SYNTHETIC_MVP
139,Writing,SYNTHETIC_MVP
140,Active Listening,SYNTHETIC_MVP
140,Writing,SYNTHETIC_MVP
140,Speaking,SYNTHETIC_MVP
140,Programming,SYNTHETIC_MVP
141,Programming,SYNTHETIC_MVP
141,Reading Comprehension,SYNTHETIC_MVP
141,Speaking,SYNTHETIC_MVP
141,Systems Analysis,SYNTHETIC_MVP
141,Complex Problem Solving,SYNTHETIC_MVP
141,Critical Thinking,SYNTHETIC_MVP
142,Writing,SYNTHETIC_MVP
142,Time Management,SYNTHETIC_MVP
142,Complex Problem Solving,SYNTHETIC_MVP
143,Writing,SYNTHETIC_MVP
143,Time Management,SYNTHETIC_MVP
143,Complex Problem Solving,SYNTHETIC_MVP
143,Data Analysis,SYNTHETIC_MVP
143,Systems Evaluation,SYNTHETIC_MVP
144,Systems Analysis,SYNTHETIC_MVP
144,Speaking,SYNTHETIC_MVP
144,Writing,SYNTHETIC_MVP
145,Complex Problem Solving,SYNTHETIC_MVP
145,Time Management,SYNTHETIC_MVP
145,Writing,SYNTHETIC_MVP
145,Systems Evaluation,SYNTHETIC_MVP
145,Programming,SYNTHETIC_MVP
145,Active Listening,SYNTHETIC_MVP
147,Complex Problem Solving,SYNTHETIC_MVP
147,Systems Analysis,SYNTHETIC_MVP
147,Critical Thinking,SYNTHETIC_MVP
147,Time Management,SYNTHETIC_MVP
148,Active Listening,SYNTHETIC_MVP
148,Reading Comprehension,SYNTHETIC_MVP
148,Project Management,SYNTHETIC_MVP
150,Critical Thinking,SYNTHETIC_MVP
150,Complex Problem Solving,SYNTHETIC_MVP
150,Reading Comprehension,SYNTHETIC_MVP
150,Project Management,SYNTHETIC_MVP
150,Writing,SYNTHETIC_MVP
150,Systems Analysis,SYNTHETIC_MVP
151,Speaking,SYNTHETIC_MVP
151,Complex Problem Solving,SYNTHETIC_MVP
151,Data Analysis,SYNTHETIC_MVP
151,Reading Comprehension,SYNTHETIC_MVP
151,Programming,SYNTHETIC_MVP
151,Systems Analysis,SYNTHETIC_MVP
152,Project Management,SYNTHETIC_MVP
152,Complex Problem Solving,SYNTHETIC_MVP
152,Speaking,SYNTHETIC_MVP
152,Writing,SYNTHETIC_MVP
152,Reading Comprehension,SYNTHETIC_MVP
153,Systems Analysis,SYNTHETIC_MVP
153,Critical Thinking,SYNTHETIC_MVP
153,Active Listening,SYNTHETIC_MVP
153,Data Analysis,SYNTHETIC_MVP
154,Critical Thinking,SYNTHETIC_MVP
154,Programming,SYNTHETIC_MVP
154,Data Analysis,SYNTHETIC_MVP
154,Speaking,SYNTHETIC_MVP
154,Reading Comprehension,SYNTHETIC_MVP
154,Time Management,SYNTHETIC_MVP
155,Project Management,SYNTHETIC_MVP
155,Programming,SYNTHETIC_MVP
155,Systems Analysis,SYNTHETIC_MVP
155,Data Analysis,SYNTHETIC_MVP
158,Programming,SYNTHETIC_MVP
158,Speaking,SYNTHETIC_MVP
158,Data Analysis,SYNTHETIC_MVP
158,Time Management,SYNTHETIC_MVP
158,Writing,SYNTHETIC_MVP
158,Active Listening,SYNTHETIC_MVP
159,Writing,SYNTHETIC_MVP
159,Speaking,SYNTHETIC_MVP
159,Project Management,SYNTHETIC_MVP
160,Programming,SYNTHETIC_MVP
160,Project Management,SYNTHETIC_MVP
160,Critical Thinking,SYNTHETIC_MVP
160,Active Listening,SYNTHETIC_MVP
161,Critical Thinking,SYNTHETIC_MVP
161,Data Analysis,SYNTHETIC_MVP
161,Writing,SYNTHETIC_MVP
162,Complex Problem Solving,SYNTHETIC_MVP
162,Reading Comprehension,SYNTHETIC_MVP
162,Programming,SYNTHETIC_MVP
162,Critical Thinking,SYNTHETIC_MVP
162,Project Management,SYNTHETIC_MVP
163,Complex Problem Solving,SYNTHETIC_MVP
163,Programming,SYNTHETIC_MVP
163,Time Management,SYNTHETIC_MVP
163,Writing,SYNTHETIC_MVP
163,Systems Evaluation,SYNTHETIC_MVP
164,Speaking,SYNTHETIC_MVP
164,Complex Problem Solving,SYNTHETIC_MVP
164,Data Analysis,SYNTHETIC_MVP
164,Project Management,SYNTHETIC_MVP
164,Systems Analysis,SYNTHETIC_MVP
165,Speaking,SYNTHETIC_MVP
165,Data Analysis,SYNTHETIC_MVP
165,Time Management,SYNTHETIC_MVP
165,Writing,SYNTHETIC_MVP
165,Complex Problem Solving,SYNTHETIC_MVP
167,Project Management,SYNTHETIC_MVP
167,Complex Problem Solving,SYNTHETIC_MVP
167,Writing,SYNTHETIC_MVP
167,Data Analysis,SYNTHETIC_MVP
169,Complex Problem Solving,SYNTHETIC_MVP
169,Project Management,SYNTHETIC_MVP
169,Data Analysis,SYNTHETIC_MVP
170,Reading Comprehension,SYNTHETIC_MVP
170,Complex Problem Solving,SYNTHETIC_MVP
170,Project Management,SYNTHETIC_MVP
170,Active Listening,SYNTHETIC_MVP
171,Data Analysis,SYNTHETIC_MVP
171,Complex Problem Solving,SYNTHETIC_MVP
171,Time Management,SYNTHETIC_MVP
171,Speaking,SYNTHETIC_MVP
171,Systems Analysis,SYNTHETIC_MVP
174,Critical Thinking,SYNTHETIC_MVP
174,Active Listening,SYNTHETIC_MVP
174,Time Management,SYNTHETIC_MVP
174,Systems Analysis,SYNTHETIC_MVP
175,Programming,SYNTHETIC_MVP
175,Systems Analysis,SYNTHETIC_MVP
175,Speaking,SYNTHETIC_MVP
175,Data Analysis,SYNTHETIC_MVP
175,Systems Evaluation,SYNTHETIC_MVP
175,Project Management,SYNTHETIC_MVP
176,Speaking,SYNTHETIC_MVP
176,Time Management,SYNTHETIC_MVP
176,Reading Comprehension,SYNTHETIC_MVP
176,Active Listening,SYNTHETIC_MVP
176,Systems Evaluation,SYNTHETIC_MVP
177,Systems Evaluation,SYNTHETIC_MVP
177,Time Management,SYNTHETIC_MVP
177,Project Management,SYNTHETIC_MVP
177,Data Analysis,SYNTHETIC_MVP
177,Speaking,SYNTHETIC_MVP
178,Programming,SYNTHETIC_MVP
178,Time Management,SYNTHETIC_MVP
178,Complex Problem Solving,SYNTHETIC_MVP
178,Reading Comprehension,SYNTHETIC_MVP
178,Systems Analysis,SYNTHETIC_MVP
178,Writing,SYNTHETIC_MVP
179,Systems Evaluation,SYNTHETIC_MVP
179,Programming,SYNTHETIC_MVP
179,Complex Problem Solving,SYNTHETIC_MVP
179,Writing,SYNTHETIC_MVP
179,Systems Analysis,SYNTHETIC_MVP
179,Project Management,SYNTHETIC_MVP
182,Reading Comprehension,SYNTHETIC_MVP
182,Writing,SYNTHETIC_MVP
182,Programming,SYNTHETIC_MVP
182,Data Analysis,SYNTHETIC_MVP
182,Active Listening,SYNTHETIC_MVP
183,Data Analysis,SYNTHETIC_MVP
183,Reading Comprehension,SYNTHETIC_MVP
183,Speaking,SYNTHETIC_MVP
184,Reading Comprehension,SYNTHETIC_MVP
184,Project Management,SYNTHETIC_MVP
184,Programming,SYNTHETIC_MVP
184,Systems Analysis,SYNTHETIC_MVP
190,Systems Evaluation,SYNTHETIC_MVP
190,Project Management,SYNTHETIC_MVP
190,Data Analysis,SYNTHETIC_MVP
192,Active Listening,SYNTHETIC_MVP
192,Programming,SYNTHETIC_MVP
192,Reading Comprehension,SYNTHETIC_MVP
192,Critical Thinking,SYNTHETIC_MVP
193,Complex Problem Solving,SYNTHETIC_MVP
